key	en	am	om	ti	so	sw	note
ui_channels_subtitle	Where customers reach {org}.	ደንበኞች {org}ን የሚያገኙበት።	Bakka maamiltoonni {org} itti argatan.	ዓማዊል ን{org} ዝረኽቡሉ ቦታ።	Meesha macaamiishu ku gaaraan {org}.	Mahali wateja wanapofikia {org}.	Line under the Channels heading. {org} is the organization's name.
ui_loading	Loading…	በመጫን ላይ…	Fe'amaa jira…	ይጽዓን ኣሎ…	Waa la soo rarayaa…	Inapakia…	Shown while a page or card is fetching data.
ui_live	Live	በሥራ ላይ	Hojii irra	ኣብ ስራሕ	Shaqaynaya	Inafanya kazi	Badge on a channel that is connected and working.
ui_available	Available	ዝግጁ	Qophii	ድሉው	Diyaar	Tayari	Badge on a channel that is built but not yet connected.
ui_needs	What it needs	ምን ያስፈልጋል	Maal barbaachisa	እንታይ የድሊ	Waxa loo baahan yahay	Kinachohitajika	Heading of the list of things required to connect a channel.
ui_tg_token_label	Bot token from @BotFather	ከ@BotFather የተገኘ የቦት ቶክን	Tookinii bootii @BotFather irraa	ካብ @BotFather ዝተረኸበ ናይ ቦት ቶክን	Tookinka bootka ee @BotFather	Tokeni ya boti kutoka @BotFather	Label of the input where the admin pastes the Telegram bot token. @BotFather is Telegram's official bot — keep the name.
ui_tg_connect	Connect	አገናኝ	Walqabsiisi	ኣራኽብ	Ku xir	Unganisha	Button that saves the pasted token and registers the webhook.
ui_tg_connecting	Connecting…	በማገናኘት ላይ…	Walqabsiisaa jira…	የራኽብ ኣሎ…	Waa la xirayaa…	Inaunganisha…	Button text while connecting.
ui_tg_connected_as	Connected as @{bot}.	እንደ @{bot} ተገናኝቷል።	Akka @{bot} walqabateera.	ከም @{bot} ተራኺቡ እዩ።	Waxaa lagu xiray sida @{bot}.	Imeunganishwa kama @{bot}.	Success line. {bot} is the bot's Telegram username, shown as @name.
ui_tg_replace_hint	Pasting a new token replaces the current connection. If you revoke the token in BotFather, paste the new one here straight away.	አዲስ ቶክን መለጠፍ አሁን ያለውን ግንኙነት ይተካል። በBotFather ቶክኑን ከሰረዙ አዲሱን ወዲያውኑ እዚህ ይለጥፉ።	Tookinii haaraa maxxansuun walqabsiisa ammaa bakka bu'a. BotFather keessatti tookinii yoo haqxan, isa haaraa battalumatti asitti maxxansaa.	ሓድሽ ቶክን ምልጣፍ ነቲ ዘሎ ርክብ ይትክኦ። ኣብ BotFather ቶክን እንተሰሪዝኩም፣ ነቲ ሓድሽ ብቕጽበት ኣብዚ ለጥፉዎ።	Ku dhejinta tookin cusub waxay beddeshaa xiriirka hadda jira. Haddii aad tookinka ka burisid BotFather, kan cusub isla markiiba halkan ku dheji.	Kubandika tokeni mpya hubadilisha muunganisho wa sasa. Ukifuta tokeni katika BotFather, bandika mpya hapa mara moja.	Help text: pasting a new token replaces the old one, and a token revoked in BotFather must be re-pasted. 'Revoke' is BotFather's own action name.
ui_tg_token_dead	The stored token no longer works — it was revoked in BotFather. Paste the current token to reconnect.	የተቀመጠው ቶክን ከአሁን በኋላ አይሰራም — በBotFather ተሰርዟል። ለመገናኘት አሁን ያለውን ቶክን ይለጥፉ።	Tookiniin kuufame kana booda hin hojjetu — BotFather keessatti haqameera. Walqabsiisuuf tookinii ammaa maxxansaa.	እቲ ዝተቐመጠ ቶክን ደጊም ኣይሰርሕን እዩ — ኣብ BotFather ተሰሪዙ እዩ። ንምርኻብ ነቲ ሕጂ ዘሎ ቶክን ለጥፉ።	Tookinka kaydsan hadda ma shaqeeyo — waxaa laga buriyay BotFather. Si aad dib ugu xirto, ku dheji tookinka hadda jira.	Tokeni iliyohifadhiwa haifanyi kazi tena — ilifutwa katika BotFather. Bandika tokeni ya sasa ili kuunganisha upya.	Warning when the saved token no longer works because it was revoked. Tells the admin the one action that fixes it.
ui_tg_webhook_ok	Webhook registered with Telegram.	Webhook ከTelegram ጋር ተመዝግቧል።	Webhook Telegram irratti galmaa'eera.	Webhook ኣብ Telegram ተመዝጊቡ እዩ።	Webhook waxaa laga diiwaangeliyay Telegram.	Webhook imesajiliwa na Telegram.	Status line: Telegram has our webhook registered. 'Webhook' is a technical term — keep it.
ui_tg_webhook_wrong	Telegram is pointing somewhere else — paste the token again to fix it.	Telegram ወደ ሌላ ቦታ እያመለከተ ነው — ለማስተካከል ቶክኑን እንደገና ይለጥፉ።	Telegram bakka biraa agarsiisaa jira — sirreessuuf tookinii irra deebi'aa maxxansaa.	Telegram ናብ ካልእ ቦታ የመልክት ኣሎ — ንምእራም ነቲ ቶክን ደጊምኩም ለጥፉ።	Telegram meel kale ayuu tilmaamayaa — si aad u saxdo, tookinka mar kale ku dheji.	Telegram inaelekeza mahali pengine — bandika tokeni tena ili kurekebisha.	Warning: Telegram is registered to a different address; re-pasting the token repairs it.
ui_tg_last_error	Telegram's last delivery error: {error}	የTelegram የመጨረሻ የመላኪያ ስህተት: {error}	Dogoggora ergaa Telegram isa dhumaa: {error}	ናይ Telegram ናይ መወዳእታ ናይ ምልኣኽ ጌጋ: {error}	Khaladkii ugu dambeeyay ee Telegram: {error}	Hitilafu ya mwisho ya utumaji ya Telegram: {error}	Shows Telegram's own most recent delivery error. {error} is the raw message from Telegram, usually English.
ui_tg_connect_failed	Could not connect: {error}	መገናኘት አልተቻለም: {error}	Walqabsiisuun hin danda'amne: {error}	ምርኻብ ኣይተኻእለን: {error}	Lama xiri karin: {error}	Imeshindwa kuunganisha: {error}	Error when the connect attempt is rejected. {error} is the reason.
ui_not_connected	Not connected yet.	እስካሁን አልተገናኘም።	Ammatti hin walqabanne.	ክሳብ ሕጂ ኣይተራኸበን።	Weli lama xirin.	Bado haijaunganishwa.	Status line for a channel with nothing connected yet.
ui_status_unknown	Could not check the connection: {error}	ግንኙነቱን ማረጋገጥ አልተቻለም: {error}	Walqabsiisa mirkaneessuun hin danda'amne: {error}	ርክብ ምርግጋጽ ኣይተኻእለን: {error}	Xiriirka lama hubin karin: {error}	Imeshindwa kukagua muunganisho: {error}	Shown when the console could not reach Telegram to check. {error} is the reason.
ui_register_title	Create your workspace	የሥራ ቦታዎን ይፍጠሩ	Iddoo hojii keessan uumaa	ናይ ስራሕ ቦታኹም ፍጠሩ	Samee goobta shaqadaada	Unda eneo lako la kazi	Heading of the create-a-workspace (organization sign-up) page.
ui_org_name	Organization name	የድርጅት ስም	Maqaa dhaabbataa	ስም ትካል	Magaca hay'adda	Jina la shirika	Form label: the organization's full display name.
ui_your_name	Your name	ስምዎ	Maqaa keessan	ስምኩም	Magacaaga	Jina lako	Form label: the registering person's own name.
ui_register	Create workspace	የሥራ ቦታ ይፍጠሩ	Iddoo hojii uumi	ናይ ስራሕ ቦታ ፍጠሩ	Samee goobta shaqada	Unda eneo la kazi	The create-workspace button.
ui_creating	Creating…	በመፍጠር ላይ…	Uumaa jira…	ይፈጥር ኣሎ…	Waa la samaynayaa…	Inaunda…	Button text while the workspace is being created.
ui_register_failed	Could not create the workspace: {error}	የሥራ ቦታውን መፍጠር አልተቻለም: {error}	Iddoo hojii uumuun hin danda'amne: {error}	ናይ ስራሕ ቦታ ምፍጣር ኣይተኻእለን: {error}	Goobta shaqada lama samayn karin: {error}	Imeshindwa kuunda eneo la kazi: {error}	Error when creation is rejected (taken slug, weak password…). {error} is the reason from the server, usually English.
ui_go_sign_in	Already have a workspace? Sign in	የሥራ ቦታ አለዎት? ይግቡ	Iddoo hojii qabduu? Seenaa	ናይ ስራሕ ቦታ ኣለኩም ድዩ? እተዉ	Goob shaqo ma leedahay? Gal	Una eneo la kazi? Ingia	Link from the register page to the sign-in page.
ui_go_register	New here? Create a workspace	አዲስ ነዎት? የሥራ ቦታ ይፍጠሩ	Haaraa dhuftanii? Iddoo hojii uumaa	ሓድሽ ዲኹም? ናይ ስራሕ ቦታ ፍጠሩ	Ma cusub tahay? Samee goobta shaqada	Mgeni? Unda eneo la kazi	Link from the sign-in page to the register page.
ui_nav_dashboard	Dashboard	ዳሽቦርድ	Daashboordii	ዳሽቦርድ	Dashboorka	Dashibodi	Sidebar navigation item: the overview screen with today's numbers.
ui_nav_inbox	Inbox	የገቢ መልዕክቶች	Sanduuqa ergaa	ሳጹን መልእኽቲ	Sanduuqa fariimaha	Kikasha	Sidebar navigation item: the list of customer tickets.
ui_kpi_open	Open now	አሁን ክፍት	Amma banaa	ሕጂ ክፉት	Hadda furan	Zilizo wazi sasa	Stat tile label: tickets currently open (new + open + waiting).
ui_kpi_new_today	New today	ዛሬ አዲስ	Har'a haaraa	ሎሚ ሓድሽ	Maanta cusub	Mpya leo	Stat tile label: tickets opened today.
ui_kpi_awaiting	Awaiting first reply	የመጀመሪያ ምላሽ በመጠበቅ ላይ	Deebii jalqabaa eegaa	ናይ መጀመርታ መልሲ ይጽበ ኣሎ	Sugaya jawaabta koowaad	Inasubiri jibu la kwanza	Stat tile label: open tickets no agent has replied to yet.
ui_by_channel	Tickets by channel	ቲኬቶች በቻናል	Tiikeetota chaanaaliidhaan	ቲኬታት ብቻናል	Tikidhada kanaal ahaan	Tiketi kwa njia	Card heading: count of tickets per channel (Telegram, SMS…).
ui_recent_tickets	Recent tickets	የቅርብ ጊዜ ቲኬቶች	Tiikeetota dhiheenyaa	ናይ ቀረባ እዋን ቲኬታት	Tikidhada dhawaan	Tiketi za hivi karibuni	Card heading: the most recently active tickets.
ui_no_tickets	No tickets yet. Connect a channel and incoming messages become tickets here.	እስካሁን ቲኬቶች የሉም። ቻናል ያገናኙ — የሚገቡ መልዕክቶች እዚህ ቲኬቶች ይሆናሉ።	Ammatti tiikeetiin hin jiru. Chaanaalii walqabsiisaa — ergaawwan dhufan asitti tiikeetii ta'u.	ክሳብ ሕጂ ቲኬታት የለዉን። ቻናል ኣራኽቡ — ዝኣትዉ መልእኽትታት ኣብዚ ቲኬታት ይኾኑ።	Weli tikidho ma jiraan. Ku xir kanaal — fariimaha soo galaa halkan tikidho ayay noqdaan.	Bado hakuna tiketi. Unganisha njia — jumbe zinazoingia huwa tiketi hapa.	Empty state of the dashboard/inbox before any customer has written.
ui_inbox_empty	No tickets in this view.	በዚህ እይታ ቲኬቶች የሉም።	Mul'ata kana keessa tiikeetiin hin jiru.	ኣብዚ ራእይ ቲኬታት የለዉን።	Aragtidan tikidho kuma jiraan.	Hakuna tiketi katika mwonekano huu.	Empty state of the inbox when a status filter matches nothing.
ui_select_ticket	Select a ticket to read it.	ለማንበብ ቲኬት ይምረጡ።	Dubbisuuf tiikeetii filadhaa.	ንምንባብ ቲኬት ምረጹ።	Dooro tikidh si aad u akhrido.	Chagua tiketi ili kuisoma.	Right pane placeholder before a ticket is selected.
ui_reply_placeholder	Write a reply…	ምላሽ ይጻፉ…	Deebii barreessaa…	መልሲ ጽሓፉ…	Qor jawaab…	Andika jibu…	Placeholder inside the reply box.
ui_send	Send	ላክ	Ergi	ስደድ	Dir	Tuma	The send-reply button.
ui_sending	Sending…	በመላክ ላይ…	Ergaa jira…	ይሰድድ ኣሎ…	Waa la dirayaa…	Inatuma…	Send button while the reply is being delivered.
ui_reply_failed	Could not send: {error}	መላክ አልተቻለም: {error}	Erguun hin danda'amne: {error}	ምስዳድ ኣይተኻእለን: {error}	Lama diri karin: {error}	Imeshindwa kutuma: {error}	Error when a reply could not be delivered. {error} is the reason.
ui_all	All	ሁሉም	Hunda	ኩሉ	Dhammaan	Zote	Inbox filter chip meaning no status filter.
ui_st_new	New	አዲስ	Haaraa	ሓድሽ	Cusub	Mpya	Ticket status: just arrived, unhandled.
ui_st_open	Open	ክፍት	Banaa	ክፉት	Furan	Wazi	Ticket status: an agent is on it.
ui_st_pending	Waiting on customer	ደንበኛን በመጠበቅ ላይ	Maamila eegaa	ዓሚል ይጽበ ኣሎ	Sugaya macmiilka	Inamsubiri mteja	Ticket status: waiting for the customer to answer.
ui_st_resolved	Resolved	ተፈቷል	Furameera	ተፈቲሑ	La xalliyay	Imetatuliwa	Ticket status: solved, pending closure.
ui_st_closed	Closed	ተዘግቷል	Cufameera	ተዓጽዩ	La xiray	Imefungwa	Ticket status: finished.
ui_customer	Customer	ደንበኛ	Maamila	ዓሚል	Macmiil	Mteja	Label for the customer side of a conversation timeline.
ui_back	Back	ተመለስ	Duubatti deebi'i	ተመለስ	Dib u noqo	Rudi	Back button from a ticket's conversation to the ticket list (mobile).
w_intro	Send us a message — our team replies right here.	መልዕክትዎን ይላኩልን — ቡድናችን እዚሁ ይመልስልዎታል።	Ergaa keessan nuuf ergaa — gareen keenya asuma deebii isiniif kenna.	መልእኽትኹም ስደዱልና — ጋንታና ኣብዚ ክምልሰልኩም እዩ።	Fariintaada noo soo dir — kooxdayadu halkan ayay kaaga jawaabi doontaa.	Tutumie ujumbe wako — timu yetu itakujibu hapa hapa.	CUSTOMER-FACING (widget): the line shown before the visitor's first message.
w_input_placeholder	Type your message…	መልዕክትዎን ይጻፉ…	Ergaa keessan barreessaa…	መልእኽትኹም ጽሓፉ…	Qor fariintaada…	Andika ujumbe wako…	CUSTOMER-FACING (widget): placeholder in the message box.
w_send_failed	Could not send — check your connection and try again.	መላክ አልተቻለም — ግንኙነትዎን ያረጋግጡና እንደገና ይሞክሩ።	Erguun hin danda'amne — walqunnamtii keessan mirkaneessaa irra deebi'aa yaalaa.	ምስዳድ ኣይተኻእለን — ርክብኩም ኣረጋግጹን ደጊምኩም ፈትኑን።	Lama diri karin — hubi xiriirkaaga oo mar kale isku day.	Imeshindwa kutuma — angalia muunganisho wako kisha ujaribu tena.	CUSTOMER-FACING (widget): error when a message could not be sent.
w_powered	Powered by Olink Desk	በOlink Desk የተጎላበተ	Olink Desk irratti hundaa'e	ብOlink Desk ዝተሰርሐ	Waxaa wada Olink Desk	Inaendeshwa na Olink Desk	CUSTOMER-FACING (widget): footer credit line. 'Olink Desk' is the product name — keep it.
ui_embed_title	Add to your website	ወደ ድህረ ገጽዎ ያክሉ	Weebsaayitii keessan irratti dabalaa	ናብ ወብሳይትኹም ወስኹ	Ku dar websaydkaaga	Ongeza kwenye tovuti yako	Channels page: heading of the website-widget embed card.
ui_embed_hint	Paste this snippet before </body> on any page of your site.	ይህን ኮድ በማንኛውም የድህረ ገጽዎ ገጽ ላይ ከ</body> በፊት ይለጥፉ።	Koodii kana fuula weebsaayitii keessanii kamiyyuu irratti </body> dura maxxansaa.	ነዚ ኮድ ኣብ ዝኾነ ገጽ ወብሳይትኩም ቅድሚ </body> ለጥፉዎ።	Koodhkan ku dheji bog kasta oo websaydkaaga ah </body> ka hor.	Bandika msimbo huu kwenye ukurasa wowote wa tovuti yako kabla ya </body>.	Channels page: how to install the snippet. '</body>' is an HTML tag — keep it exactly.
ui_copy	Copy	ቅዳ	Garagalchi	ቅዳሕ	Koobbi	Nakili	Button that copies the embed snippet.
ui_copied	Copied!	ተቀድቷል!	Garagalfameera!	ተቐዲሑ!	Waa la koobiyeeyay!	Imenakiliwa!	Copy button after a successful copy.
ui_open_widget	Open the widget	ዊጀቱን ክፈት	Wijeetii bani	ዊጀት ክፈት	Fur wijidka	Fungua wijeti	Link that opens the org's widget page in a new tab.
ui_status	Status	ሁኔታ	Haala	ኩነታት	Xaalad	Hali	Ticket rail label: the ticket's status field.
ui_priority	Priority	ቅድሚያ	Dursa	ቀዳምነት	Mudnaan	Kipaumbele	Ticket rail label: the ticket's priority field.
ui_assignee	Assignee	ተመዳቢ	Namni ramadame	እተመደበ ሰብ	Qofka loo xilsaaray	Aliyekabidhiwa	Ticket rail label: the agent responsible for the ticket.
ui_assign_me	Assign to me	ለእኔ መድብ	Anaaf ramadi	ንዓይ መድብ	Ii xilsaar aniga	Nikabidhi mimi	Button: assign the ticket to the signed-in agent.
ui_unassigned	Unassigned	ያልተመደበ	Hin ramadamne	ዘይተመደበ	Aan la xilsaarin	Haijakabidhiwa	Shown where no agent is assigned (rail and wallboard).
ui_queue	Queue	ወረፋ	Toora	መስርዕ	Saf	Foleni	Ticket rail label: the queue (named work bucket) the ticket sits in.
ui_no_queue	No queue	ወረፋ የለም	Toora hin qabu	መስርዕ የለን	Saf ma leh	Hakuna foleni	Shown when a ticket is in no queue.
ui_new_queue	New queue name	አዲስ የወረፋ ስም	Maqaa toora haaraa	ሓድሽ ስም መስርዕ	Magaca safka cusub	Jina la foleni mpya	Placeholder of the create-a-queue input.
ui_add	Add	አክል	Dabali	ወስኽ	Ku dar	Ongeza	Button that creates the queue.
ui_pr_low	Low	ዝቅተኛ	Gadi aanaa	ትሑት	Hoose	Chini	Priority level: lowest.
ui_pr_normal	Normal	መደበኛ	Idilee	ንቡር	Caadi	Kawaida	Priority level: default.
ui_pr_high	High	ከፍተኛ	Ol'aanaa	ልዑል	Sare	Juu	Priority level: elevated.
ui_pr_urgent	Urgent	አስቸኳይ	Ariifachiisaa	ህጹጽ	Degdeg	Dharura	Priority level: highest — tightest SLA clock.
ui_sla_first_due	First reply due in {t}	የመጀመሪያ ምላሽ በ{t} ውስጥ	Deebiin jalqabaa {t} keessatti	ናይ መጀመርታ መልሲ ኣብ {t}	Jawaabta koowaad {t} gudaheed	Jibu la kwanza ndani ya {t}	SLA chip: time remaining to send the first reply. {t} is a duration like '2h 15m'.
ui_sla_resolve_due	Resolve due in {t}	መፍትሄ በ{t} ውስጥ	Furmaanni {t} keessatti	ፍታሕ ኣብ {t}	Xallinta {t} gudaheed	Utatuzi ndani ya {t}	SLA chip: time remaining to resolve. {t} is a duration.
ui_sla_overdue	Overdue by {t}	በ{t} ዘግይቷል	{t} tureera	ብ{t} ደንጉዩ	Waxay dib u dhacday {t}	Imechelewa kwa {t}	SLA chip: the promise was missed. {t} is how late.
ui_sla_met	First reply sent	የመጀመሪያ ምላሽ ተልኳል	Deebiin jalqabaa ergameera	ናይ መጀመርታ መልሲ ተላኢኹ	Jawaabta koowaad waa la diray	Jibu la kwanza limetumwa	SLA chip: the first reply went out inside the target.
ui_nav_wallboard	Wallboard	የክትትል ሰሌዳ	Gabatee hordoffii	ሰሌዳ ክትትል	Shaashadda kormeerka	Ubao wa ufuatiliaji	Sidebar item: the supervisor's live overview screen (for a big monitor).
ui_wb_open	Open	ክፍት	Banaa	ክፉት	Furan	Wazi	Wallboard stat: open tickets right now.
ui_wb_at_risk	At risk	አደጋ ላይ	Balaa irra	ኣብ ሓደጋ	Khatar ku jira	Hatarini	Wallboard stat: tickets past 80% of their SLA window.
ui_wb_breached	Breached	ጊዜው ያለፈ	Yeroon darbe	ግዜኡ ዝሓለፈ	Waqtigu dhaafay	Muda umepita	Wallboard stat: tickets past their SLA due time.
ui_wb_new_today	New today	ዛሬ አዲስ	Har'a haaraa	ሎሚ ሓድሽ	Maanta cusub	Mpya leo	Wallboard stat: tickets opened today.
ui_wb_oldest	Oldest wait	ረጅሙ ጥበቃ	Eegumsa dheeraa	ዝነውሐ ምጽባይ	Sugitaanka ugu dheer	Subira ndefu zaidi	Wallboard column: the longest a ticket has been waiting.
ui_wb_agents	Agents	ሰራተኞች	Hojjettoota	ሰራሕተኛታት	Shaqaalaha	Wafanyakazi	Wallboard section: staff and their open assignment counts.
ui_wb_median_fr	Median first reply today	የዛሬ አማካይ የመጀመሪያ ምላሽ	Deebii jalqabaa giddugaleessa har'aa	ማእከላይ ናይ መጀመርታ መልሲ ሎሚ	Jawaabta koowaad ee dhexe maanta	Wastani wa jibu la kwanza leo	Wallboard stat: median minutes to first reply, today.
ui_wb_median_res	Median resolution today	የዛሬ አማካይ መፍትሄ	Furmaata giddugaleessa har'aa	ማእከላይ ፍታሕ ሎሚ	Xallinta dhexe maanta	Wastani wa utatuzi leo	Wallboard stat: median minutes to resolution, today.
ui_views	Views	እይታዎች	Mul'annoowwan	ትርኢታት	Muuqaallo	Mionekano	Heading of the saved-views rail in the workspace.
ui_view_mine	My work	የእኔ ሥራ	Hojii koo	ናተይ ስራሕ	Shaqadayda	Kazi yangu	Saved view: open tickets assigned to the signed-in agent.
ui_view_unassigned	Unassigned	ያልተመደበ	Hin ramadamne	ዘይተመደበ	Aan la xilsaarin	Haijakabidhiwa	Saved view: open tickets nobody owns yet.
ui_view_open	All open	ሁሉም ክፍት	Hunda banaa	ኩሉ ክፉት	Dhammaan furan	Zote zilizo wazi	Saved view: every open ticket in the workspace.
ui_view_solved	Recently solved	በቅርቡ የተፈቱ	Dhiheenya furame	ኣብ ቀረባ እዋን ዝተፈትሐ	Dhawaan la xalliyay	Zilizotatuliwa hivi karibuni	Saved view: tickets recently resolved or closed.
ui_view_all	Everything	ሁሉም	Hunda	ኩሉ	Wax walba	Kila kitu	Saved view: no filter at all, every ticket ever.
ui_search_tickets	Search tickets	ቲኬቶችን ፈልግ	Tiikeetii barbaadi	ቲኬታት ድለ	Raadi tikidhada	Tafuta tiketi	Placeholder of the workspace search box.
ui_channel	Channel	ቻናል	Chaanaalii	ቻናል	Kanaal	Njia	Filter label: which channel a ticket arrived on.
ui_all_channels	All channels	ሁሉም ቻናሎች	Chaanaalota hunda	ኩሎም ቻናላት	Dhammaan kanaalada	Njia zote	Channel filter option meaning no channel filter.
ui_anyone	Anyone	ማንኛውም ሰው	Nama kamiyyuu	ዝኾነ ሰብ	Qof kasta	Mtu yeyote	Assignee filter option meaning any agent (no filter).
ui_count_tickets	{n} tickets	{n} ቲኬቶች	Tiikeetii {n}	{n} ቲኬታት	{n} tikidh	Tiketi {n}	Live count beside the Inbox heading. {n} is a number.
ui_showing_first	Showing the first {n}	የመጀመሪያዎቹ {n} እየታዩ ነው	Kan jalqabaa {n} agarsiisaa jira	እቶም ቀዳሞት {n} ይረኣዩ ኣለዉ	Waxaa la tusayaa {n}-kii ugu horreeyay	Zinaonyeshwa {n} za kwanza	Shown when the result set is larger than one page. {n} is a number.
ui_empty_mine	Nothing assigned to you. Work you take will appear here.	ለእርስዎ የተመደበ ነገር የለም። የሚይዙት ሥራ እዚህ ይታያል።	Wanti isiniif ramadame hin jiru. Hojiin isin fudhattan asitti mul'ata.	ንዓኹም ዝተመደበ የለን። እትወስድዎ ስራሕ ኣብዚ ክርአ እዩ።	Waxba lagugu ma xilsaarin. Shaqada aad qaadato halkan ayay ka muuqan doontaa.	Hakuna ulichokabidhiwa. Kazi utakayochukua itaonekana hapa.	Empty state of the My-work view — encouraging, not an error.
ui_empty_unassigned	Nothing waiting — every open ticket has an owner.	የሚጠብቅ የለም — ሁሉም ክፍት ቲኬት ባለቤት አለው።	Wanti eegaa jiru hin jiru — tiikeetiin banaa hundi abbaa qaba.	ዝጽበ የለን — ኩሉ ክፉት ቲኬት ወናኒ ኣለዎ።	Waxba ma sugayaan — tikidh kasta oo furan wuxuu leeyahay qof.	Hakuna inayosubiri — kila tiketi iliyo wazi ina mwenyewe.	Empty state of the Unassigned view: good news, everything has an owner.
ui_empty_solved	Nothing solved yet.	እስካሁን የተፈታ የለም።	Ammatti wanti furame hin jiru.	ክሳብ ሕጂ ዝተፈትሐ የለን።	Weli waxba lama xallin.	Bado hakuna iliyotatuliwa.	Empty state of the Recently-solved view.
ui_empty_search	No tickets match that search.	ከዚህ ፍለጋ ጋር የሚዛመድ ቲኬት የለም።	Barbaacha kanaan tiikeetiin wal hin simu.	ምስዚ ድሌት ዝሰማማዕ ቲኬት የለን።	Tikidh la mid ah raadintaas ma jiro.	Hakuna tiketi inayolingana na utafutaji huo.	Empty state when a search matches nothing.
ui_customer_details	Customer	ደንበኛ	Maamila	ዓሚል	Macmiil	Mteja	Heading of the customer section in the right context rail.
ui_ticket_details	Ticket	ቲኬት	Tiikeetii	ቲኬት	Tikidh	Tiketi	Heading of the ticket section in the right context rail.
ui_opened	Opened	የተከፈተበት	Yeroo banameef	እተኸፍተሉ	Waqtiga la furay	Ilifunguliwa	Context rail field: when the ticket was opened.
ui_language	Language	ቋንቋ	Afaan	ቋንቋ	Luqad	Lugha	Context rail field: the conversation's language.
ui_phone	Phone	ስልክ	Bilbila	ስልኪ	Taleefan	Simu	Context rail field: the customer's phone number.
ui_clear	Clear	አጽዳ	Haqi	ኣጽሪ	Nadiifi	Futa	Button that clears the active list filters.
